Time (sec),Feed Flowrate (ml/min),Feed Temperature (C),Reboiler Duty (w),Reflux Flowrate (ml/min),Reboiler Pressure (mbar),Reboiler Temperature (C),Tray 11 Temperature (C),Tray 4 Temperature (C),Overhead Vapor Temperature (C),Reflux Temperature (C),Approx Distillate Comp (Wt% CH3OH),Approx Bottoms Comp (Wt% CH3OH),Feed Heater Output (%),Bottoms Pump Output (%),Feed Tank Weight Kg,Ambient Temperature (C),Ambient Pressure (kPa)
18305.15331,9.999678,65.084263,869.999763,29.999812,866.818935,73.780556,68.886178,63.875671,63.327081,27.251375,90.050151,3.850244,15.496609,-0.001982,14.676873,21.986634,85.575043
18606.05546,9.999678,64.754138,869.999763,29.999812,865.685329,73.59143,68.773564,63.863296,63.252568,27.358546,89.900875,3.839113,16.106352,-0.001982,14.638163,22.012156,85.567065
18906.59146,9.999678,65.216082,869.999763,29.999812,869.774953,73.582516,68.627451,63.773016,63.007424,27.366763,89.900413,3.903187,15.713805,-0.001982,14.56546,22.007594,85.543875
19206.88146,9.999678,64.969374,869.999763,29.999812,865.610451,73.647903,68.681504,63.767167,63.158509,27.715043,90.087866,3.920139,15.614174,-0.001982,14.532393,22.026627,85.545753
19507.28446,9.999678,64.976606,869.999763,29.999812,865.771756,73.508433,68.786144,63.791268,63.067699,27.444197,90.103718,3.923295,15.725761,-0.001982,14.528393,22.130484,85.536195
19807.58073,9.999678,65.062129,869.999763,29.999812,864.164852,73.782003,68.589326,63.722463,63.048521,27.775055,90.480554,3.584801,15.879193,-0.001982,14.442971,22.246703,85.510382
20107.32331,9.999678,65.059962,869.999763,29.999812,863.151945,73.606036,68.551696,63.66534,62.875181,27.745925,90.671455,3.439588,15.526498,-0.001982,14.34376,22.232671,85.511108
20408.44146,9.999678,64.92033,869.999763,29.999812,863.727503,73.722524,68.439744,63.556902,62.781036,27.846306,90.896637,3.489763,15.739709,-0.001982,14.400642,22.140845,85.48961
20708.90723,9.999678,64.890849,869.999763,29.999812,866.316207,73.520357,68.327975,63.51267,62.753578,27.791917,91.086508,3.571365,16.401261,-0.001982,14.348915,22.058199,85.483864
21009.23346,9.999678,65.11775,869.999763,29.999812,863.085076,73.541619,68.370972,63.532867,62.800174,27.894434,91.270448,3.658287,15.646056,-0.001982,14.340445,22.093137,85.457689
21309.73346,9.999678,65.056653,869.999763,29.999812,866.653904,73.503585,68.255963,63.391187,62.870089,27.792373,91.525366,3.710701,15.843326,-0.001982,14.372802,22.076463,85.455095
21609.21339,9.999678,64.916373,869.999763,29.999812,867.202081,73.371577,68.235669,63.285848,62.801529,27.907698,91.972546,3.847589,15.986795,-0.001982,14.221205,22.206749,85.457242
21909.89246,9.999678,65.103704,869.999763,29.999812,863.097183,73.504126,68.305392,63.264357,62.853916,27.990191,92.180621,4.122472,15.83934,-0.001982,14.21575,22.162076,85.455132
22210.22246,9.999678,65.165198,869.999763,29.999812,869.679958,73.444954,68.09708,63.267311,62.690397,27.913437,92.463148,4.202203,15.311295,-0.001982,14.162665,22.277633,85.46297
22510.86546,9.999678,65.12893,869.999763,29.999812,867.182709,73.490758,68.181679,63.323877,62.767064,27.941733,92.534233,4.315856,15.532476,-0.001982,14.115774,22.205735,85.459502
22810.84236,9.999678,64.976092,869.999763,29.999812,865.83136,73.436949,68.090611,63.252047,62.547957,28.123657,92.65331,4.584152,15.964876,-0.001982,14.089398,22.158235,85.455941
23111.91746,9.999678,64.948359,869.999763,29.999812,868.973643,73.466081,68.28498,63.37659,62.879822,28.031264,105.264144,4.642321,16.152183,-0.001982,14.048966,22.099351,85.435605
23411.35946,9.999678,65.011931,869.999763,29.999812,869.419374,73.416865,68.149895,63.250986,62.653023,28.071174,105.165741,4.767426,15.761628,-0.001982,14.005634,22.082675,85.442877
23712.12346,9.999678,65.137299,869.999763,29.999812,863.685407,73.412037,68.1998,63.240509,62.840087,28.321459,105.100073,4.672841,15.590262,-0.001982,13.919851,22.131818,85.425889
24012.66646,9.999678,65.065355,869.999763,29.999812,868.789241,73.33896,68.201377,63.199645,62.743105,28.458994,104.369665,4.614824,15.508565,-0.001982,13.940468,22.160652,85.423183
24312.78346,9.999678,64.858598,869.999763,29.999812,864.134118,73.392782,68.129039,63.209695,62.95819,28.246914,103.116197,4.685238,15.650041,-0.001982,13.888878,22.076885,85.417799
24612.92646,9.999678,65.103805,869.999763,29.999812,868.465327,73.422139,68.148633,63.180008,62.745974,28.260029,95.165159,4.736764,15.422882,-0.001982,13.832979,22.060284,85.405739